Symbol,Exchange,Industry (Sector),Subgroup (Theme),Sub-industry,Source Symbol,Match Type,ISIN,Company Name,Primary Company Name
533326.BO,XBOM,DEFENSE & AEROSPACE SYSTEMS,Railways,Industrial Products Companies,TEXRAIL,primary_local,INE621L01012,Texmaco Rail,Texmaco Rail & Engineering Limited
533329.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,INDTERRAIN,primary_local,INE611L01021,Indian Terrain Fashions Limited,Indian Terrain Fashions Limited
533333.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,FCL,primary_local,INE045J01034,Fineotex Chemical Limited,Fineotex Chemical Limited
533336.BO,XBOM,BANKING & FINANCIAL SERVICES,Asset Management,Asset Management Company Companies,DHUNINV,primary_local,INE320L01011,Dhunseri Investments Limited,Dhunseri Investments Limited
533339.BO,XBOM,DEFENSE & AEROSPACE SYSTEMS,Aerospace & Defense OEM,Aerospace & Defense Companies,ZENTEC,primary_local,INE251B01027,Zen Technologies,Zen Technologies Limited
533343.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,LOVABLE,primary_local,INE597L01014,Lovable Lingerie Limited,Lovable Lingerie Limited
533344.BO,XBOM,BANKING & FINANCIAL SERVICES,Fintech,Other Financial Services Companies,PFS,primary_local,INE560K01014,PTC India Financial Services Limited,PTC India Financial Services Limited
533398.BO,XBOM,BANKING & FINANCIAL SERVICES,Personal & Gold Loans,Non Banking Financial Company (NBFC) Companies,MUTHOOTFIN,primary_local,INE414G01012,Muthoot Finance,Muthoot Finance Limited
533400.BO,XBOM,Lifestyle & Retail,Hypermarkets & Dept. Stores,Diversified Retail Companies,FCONSUMER,bse_security_id,INE220J01025,Future Consumer,Future Consumer Limited
533427.BO,XBOM,Logistics & Trans,Logistics Infra (Ports/Air),Port & Port services Companies,533427,primary_local,INE932K01015,VMS Industries,VMS INDUSTRIES LIMITED
533451.BO,XBOM,"ENERGY, OIL & GAS",Power Generation,Power Generation Companies,KARMAENG,primary_local,INE725L01011,Karma Energy Limited,Karma Energy Limited
